cusip,price,coupon,maturity,ytm,sector,rating,state,lastTraded,ed,md,ytw
005518UR4,100.984,2,12/1/20,2,Local GO,AA-,CO,4/21/16,2.808,2.801,1.651
005518VC6,100.984,2,12/1/20,2,Local GO,AA-,CO,4/12/16,2.808,2.801,1.651
010056KE8,102.198,2.5,12/1/25,7,Dedicated Tax,,OH,12/1/17,7.191,7.129,2.195
010056KG3,104.766,3,12/1/27,9,Dedicated Tax,,OH,11/30/17,8.651,8.542,2.454
010268BL3,123.519,5,9/1/26,8,Dedicated Tax,AA+,AL,8/22/17,7.281,7.131,2.022
010268CC2,123.519,5,9/1/26,8,Dedicated Tax,AA+,AL,12/6/17,7.281,7.131,2.022
010831CS2,117.872,5,12/1/24,6,Lease Appropriation,AA+,CA,9/30/16,5.214,5.179,1.793
011125CA7,102.183,3,6/1/19,1,Water & Sewer,AA+,CA,6/29/16,1.37,1.366,1.416
011338UJ7,105.409,3,2/1/27,9,Local GO,AA+,TX,10/7/16,7.199,6.292,2.17
011415QY5,103.469,3,8/15/20,2,Local GO,AA+,TX,1/4/18,2.506,2.476,1.633
011415RD0,121.124,5,8/15/25,7,Local GO,AA+,TX,9/26/17,6.513,6.378,1.992
011415RE8,122.436,5,8/15/26,8,Local GO,AA+,TX,9/26/17,7.238,7.077,2.131
011415RG3,123.91,5,8/15/28,10,Local GO,AA+,TX,1/3/18,7.965,7.753,2.221
011842SU6,116.384,5,10/1/23,5,Airport Rev,A+,AK,2/16/16,5.076,5.006,1.963
011842SV4,118.671,5,10/1/24,6,Airport Rev,A+,AK,3/8/16,5.853,5.766,2.019
011842SW2,120.261,5,10/1/25,7,Airport Rev,A+,AK,1/14/16,6.6,6.492,2.142
011842SX0,119.397,5,10/1/26,8,Airport Rev,A+,AK,1/14/16,6.604,6.484,2.252
011842TD3,102.053,2.5,10/1/24,6,Airport Rev,A+,AK,6/7/17,6.202,6.136,2.17
013493HE4,118.937,5,7/1/24,6,Water & Sewer,AA/AA-,NM,1/26/17,5.665,5.643,1.882
013493HF1,120.81,5,7/1/25,7,Water & Sewer,AA/AA-,NM,1/26/17,6.422,6.386,1.992
013595VE0,100.927,2,8/1/21,3,Local GO,,NM,8/30/17,3.432,3.399,1.731
014393VY5,116.093,5,2/15/41,23,Local GO,AA,TX,1/21/16,7.598,5.976,2.512
015302K50,101.847,5,7/15/18,0,Local GO,AA+,VA,12/6/17,0.516,0.504,1.418
016394LA4,122.678,5.25,8/1/42,24,Local GO,A+,CA,4/6/17,8.978,7.617,2.561
016394LB2,122.109,5.25,8/1/47,29,Local GO,A+,CA,12/6/17,9.446,7.61,2.621
01728A2D7,102.143,3,10/15/19,1,Health Care,A+,PA,1/19/17,1.724,1.711,1.764
01728AN36,102.231,5,9/1/18,0,Health Care,A+,PA,12/18/17,0.642,0.63,1.52
01728AQ41,101.512,5,6/15/18,0,Health Care,A+,PA,7/19/17,0.434,0.433,1.505
01728AQK5,125.511,6,7/1/25,7,Health Care,A+,PA,3/6/17,6.263,6.228,2.272
01728AT71,101.64,4.25,8/15/18,0,Health Care,A+,PA,1/19/16,0.598,0.588,1.505
01728RLE7,115.69,5,3/1/24,6,Higher Ed-Private,A,PA,6/15/17,5.391,5.293,2.252
