CUSIP,State,LastTradeDate
011842SU6,AK,16-FEB-16
011842SV4,AK,08-MAR-16
011842SW2,AK,14-JAN-16
011842SX0,AK,14-JAN-16
011842TD3,AK,07-JUN-17
010268BL3,AL,22-AUG-17
010268CC2,AL,06-DEC-17
050589JS0,AL,28-DEC-16
050589ML1,AL,23-JAN-18
050589MZ0,AL,03-AUG-16
050589ND8,AL,22-DEC-16
050589NG1,AL,29-DEC-17
050589NT3,AL,14-JUN-17
050589NV8,AL,03-AUG-16
90059RAG6,AL,15-AUG-17
90059RAV3,AL,19-SEP-17
90059RAX9,AL,10-FEB-17
900680BG3,AL,12-DEC-17
914026SR1,AL,29-SEP-17
914026SU4,AL,17-OCT-17
914026TA7,AL,17-AUG-17
914072B44,AR,11-MAR-16
914072N58,AR,13-JUL-17
914072R47,AR,13-JUL-17
914072R96,AR,15-NOV-17
040484CY1,AZ,17-MAY-16
040484HS9,AZ,26-MAY-16
040484LH8,AZ,08-MAY-17
040484QU4,AZ,01-DEC-17
04048RFD3,AZ,18-AUG-17
04048RGR1,AZ,18-NOV-16
04048RJF4,AZ,09-FEB-17
04048RLR5,AZ,29-DEC-16
04048RNW2,AZ,18-FEB-16
04048RQA7,AZ,15-NOV-17
04048RQC3,AZ,21-SEP-17
04048RQM1,AZ,29-AUG-17
04048RQN9,AZ,25-OCT-17
04048RQY5,AZ,22-DEC-16
04048RQZ2,AZ,31-AUG-16
04048RSP2,AZ,06-DEC-17
04048RSQ0,AZ,06-DEC-17
04048RST4,AZ,06-DEC-17
04048RSZ0,AZ,06-DEC-17
04048RTC0,AZ,06-DEC-17
040507PC3,AZ,23-FEB-17
040507PG4,AZ,27-DEC-17
04057PJV1,AZ,27-JAN-16
040649LU7,AZ,29-AUG-17
040688MQ3,AZ,08-JUL-16
158843VK5,AZ,09-FEB-16
158843WJ7,AZ,20-OCT-17
158843WK4,AZ,03-NOV-16
158843WX6,AZ,07-MAR-17
158843WY4,AZ,11-JAN-17
158843WZ1,AZ,19-OCT-16
158855CW4,AZ,09-FEB-16
566795KM1,AZ,22-NOV-16
566795LJ7,AZ,19-JAN-17
56682HBS7,AZ,04-AUG-17
56682HCL1,AZ,29-SEP-17
567090A96,AZ,30-AUG-17
567090D51,AZ,27-SEP-16
567090D69,AZ,09-JUN-16
567090F42,AZ,21-AUG-17
567090ZS7,AZ,26-FEB-16
567288UC7,AZ,08-DEC-17
567288UD5,AZ,08-DEC-17
6647543U0,AZ,26-MAY-16
718814K88,AZ,24-JAN-17
718814L38,AZ,15-FEB-17
718814Q25,AZ,01-AUG-17
718814Q41,AZ,21-SEP-17
718814Q82,AZ,17-FEB-17
71883MEZ3,AZ,08-AUG-17
71883MHJ6,AZ,26-JUL-16
71883MJQ8,AZ,21-JUN-17
71883MJS4,AZ,01-AUG-16
71883MJT2,AZ,28-APR-17
71883MMH4,AZ,12-DEC-17
71883MMJ0,AZ,12-DEC-17
71883MMK7,AZ,19-JAN-18
71883MMM3,AZ,12-DEC-17
71883MMN1,AZ,12-DEC-17
71883MMP6,AZ,11-JAN-18
71883MMU5,AZ,12-DEC-17
71883PHN0,AZ,13-JAN-17
71883PHP5,AZ,27-NOV-17
71883PJQ1,AZ,06-JUL-16
71883PJR9,AZ,18-MAY-17
71883RJL8,AZ,24-JAN-17
71883RKZ5,AZ,27-OCT-16
71883RLM3,AZ,19-JUN-17
71883RLS0,AZ,04-MAR-16
71883RLU5,AZ,19-MAY-16
71883RNV1,AZ,21-JUL-17
71883RPC1,AZ,09-DEC-16
718849BK7,AZ,26-FEB-16
71884AA90,AZ,18-MAY-17
71884AYP8,AZ,07-FEB-17
71884AYT0,AZ,16-FEB-16
71884AZT9,AZ,18-MAY-17
71884AZW2,AZ,14-JUN-17
721663ZH8,AZ,09-JAN-18
721876PW4,AZ,20-OCT-17
721876RR3,AZ,18-JUL-17
721876TD2,AZ,14-DEC-16
722021AZ5,AZ,29-NOV-16
79574CAP8,AZ,11-FEB-16
79575DG79,AZ,17-JAN-17
79575DN30,AZ,25-FEB-16
79575DN48,AZ,11-MAR-16
79575DN71,AZ,21-APR-17
8104533Y4,AZ,27-OCT-16
8104534F4,AZ,17-JAN-17
8104535F3,AZ,18-JUL-17
8104537R5,AZ,09-MAR-17
8104537T1,AZ,19-JUN-17
8104537U8,AZ,28-NOV-16
8797092F9,AZ,14-SEP-17
8797093D3,AZ,06-JUN-16
8797093F8,AZ,06-JUN-16
879709Z63,AZ,22-NOV-17
898797CD5,AZ,13-APR-16
898797EC5,AZ,16-JUN-17
898797ED3,AZ,24-OCT-17
898797EE1,AZ,31-OCT-17
898797EG6,AZ,29-AUG-17
898797EN1,AZ,16-JUN-17
988516BN9,AZ,26-OCT-17
988516BT6,AZ,12-FEB-16
010831CS2,CA,30-SEP-16
011125CA7,CA,29-JUN-16
016394LA4,CA,12-JAN-18
016394LB2,CA,06-DEC-17
032556AJ1,CA,28-SEP-16
032556AL6,CA,28-SEP-16
032556AM4,CA,28-SEP-16
032556AN2,CA,28-SEP-16
032556AP7,CA,28-SEP-16
032556DA7,CA,13-DEC-17
032556DB5,CA,13-DEC-17
03255CAW9,CA,12-JAN-18
03667PFE7,CA,12-JAN-18
03672YAF3,CA,16-MAR-17
03672YAG1,CA,11-JAN-18
03672YAH9,CA,23-JAN-17
03672YAJ5,CA,31-MAY-17
03672YAK2,CA,20-JUN-17
03672YAL0,CA,28-JUL-16
072024RH7,CA,18-FEB-16
072024RN4,CA,26-JUN-17
072024RP9,CA,17-NOV-17
072024RQ7,CA,16-AUG-17
072024RS3,CA,12-JAN-18
072024SC7,CA,04-AUG-17
072024SD5,CA,21-AUG-17
072024UY6,CA,02-AUG-17
072024UZ3,CA,02-AUG-17
072024VA7,CA,15-DEC-17
072024VC3,CA,04-AUG-17
072024VD1,CA,15-SEP-17
072024VL3,CA,26-SEP-17
072024VM1,CA,23-AUG-17
072031BB2,CA,17-APR-17
074437EY6,CA,10-NOV-17
082023NP3,CA,21-SEP-16
082023NT5,CA,21-SEP-16
082023NU2,CA,25-OCT-17
082023NY4,CA,21-SEP-16
088023LF1,CA,10-FEB-17
088023LH7,CA,16-OCT-17
088023LJ3,CA,10-FEB-17
088023LM6,CA,10-FEB-17
088023LN4,CA,10-FEB-17
098203TF9,CA,04-JAN-18
098203VG4,CA,14-JUL-16
107280LT4,CA,03-JAN-18
1301785G7,CA,28-JUL-16
1301786Q4,CA,10-MAY-17
1301786R2,CA,09-JUN-17
1301786U5,CA,22-MAR-17
1301787J9,CA,18-MAY-16
1301787K6,CA,28-MAR-17
1301787M2,CA,19-JUL-17
130178R81,CA,29-APR-16
130178TQ9,CA,20-DEC-16
130179AW4,CA,01-JUN-16
130179BD5,CA,19-JAN-18
130179BR4,CA,29-DEC-16
130179EH3,CA,20-DEC-16
130179EK6,CA,15-DEC-16
130179EN0,CA,06-JAN-16
130179FG4,CA,03-MAR-16
130179FH2,CA,03-MAR-16
130179FJ8,CA,26-APR-16
130179FK5,CA,03-MAR-16
130179FL3,CA,03-MAR-16
130179FT6,CA,02-JAN-18
130179FU3,CA,25-JUL-17
130179JH8,CA,21-JUL-17
130179JJ4,CA,21-JUL-17
130179JK1,CA,21-JUL-17
130179JL9,CA,21-JUL-17
130179JM7,CA,21-JUL-17
130179JN5,CA,21-JUL-17
130179JX3,CA,01-NOV-17
130179LK8,CA,13-DEC-17
130179LL6,CA,13-DEC-17
130179LM4,CA,13-DEC-17
130179LN2,CA,14-DEC-17
130179LP7,CA,13-DEC-17
130179LQ5,CA,13-DEC-17
130179MT8,CA,15-DEC-17
130179MU5,CA,15-DEC-17
130179NE0,CA,15-DEC-17
13032UAR9,CA,25-SEP-17
13032UAX6,CA,27-APR-16
13032UAY4,CA,22-JAN-18
13032UAZ1,CA,22-SEP-16
13032UBA5,CA,01-MAR-17
13032UBN7,CA,13-JAN-17
13032UBP2,CA,26-DEC-17
13032UBQ0,CA,27-OCT-17
13032UBX5,CA,14-SEP-17
13032UBY3,CA,13-FEB-17
13032UBZ0,CA,03-JUL-17
13032UCJ5,CA,08-NOV-16
13032UCK2,CA,05-JUN-17
13032UCL0,CA,28-DEC-16
13032UCP1,CA,21-JUN-17
13032UCU0,CA,17-MAR-16
13032UCV8,CA,17-MAR-16
13032UCW6,CA,09-DEC-16
13032UDD7,CA,27-JUL-16
13032UDE5,CA,29-DEC-16
13032UDF2,CA,16-DEC-16
13032UDG0,CA,11-JAN-18
13032UDH8,CA,06-NOV-17
13032UDU9,CA,03-JAN-18
13032UFJ2,CA,31-MAY-17
13032UFK9,CA,07-JUN-17
13032UFY9,CA,03-APR-17
13032UFZ6,CA,09-FEB-17
13032UGA0,CA,19-SEP-16
13032UHW1,CA,05-JUN-17
13032UHZ4,CA,29-MAR-17
13032UJA7,CA,15-DEC-17
13032UJK5,CA,27-OCT-16
13032UJN9,CA,27-OCT-16
13032UJR0,CA,20-DEC-16
13032UJS8,CA,27-OCT-16
13032UJT6,CA,27-OCT-16
13032UJV1,CA,27-OCT-16
13032UMR6,CA,15-DEC-17
13032UNM6,CA,22-JUN-17
13032UNS3,CA,22-JUN-17
13032UPH5,CA,04-AUG-17
13032UPJ1,CA,04-AUG-17
13032UPK8,CA,07-NOV-17
13032UPN2,CA,06-SEP-17
13032UPP7,CA,23-AUG-17
13032UPV4,CA,16-NOV-17
13032UQG6,CA,20-DEC-17
13032UQH4,CA,04-JAN-18
13033L2Z9,CA,10-AUG-17
13033L3U9,CA,21-DEC-17
13033L3X3,CA,18-JAN-18
13033LHZ3,CA,13-DEC-17
13033LL39,CA,06-OCT-17
13033LL54,CA,02-DEC-16
13033LL70,CA,13-JUN-16
13033LM20,CA,18-JAN-17
13033LM38,CA,08-NOV-16
13033LVD6,CA,03-NOV-16
13033LVN4,CA,29-DEC-17
13033LVR5,CA,09-MAR-16
13033LVS3,CA,07-JUL-16
13033LX51,CA,14-MAR-17
13033LX85,CA,16-JAN-18
13033LX93,CA,25-OCT-17
13033LXS1,CA,15-APR-16
13033LXX0,CA,20-DEC-16
13033LYY7,CA,21-JUN-17
13034ABC3,CA,20-DEC-16
13034ADA5,CA,15-APR-16
13034ADD9,CA,14-NOV-17
13034AED8,CA,18-FEB-16
13034AHA1,CA,15-DEC-17
13034AHC7,CA,17-JUL-17
13034AHS2,CA,09-JAN-17
13034AHT0,CA,20-JAN-17
13034AJF8,CA,13-APR-16
13034AJH4,CA,29-APR-16
13034AJK7,CA,31-OCT-17
13034AJL5,CA,05-JUL-17
13034AKJ8,CA,27-SEP-16
13034AKN9,CA,05-MAY-16
13034AKP4,CA,21-SEP-17
13034AKR0,CA,13-APR-17
13034AKS8,CA,02-JAN-18
13034AKV1,CA,13-SEP-17
13034ALF5,CA,15-JUN-16
13034ATG5,CA,08-DEC-17
13034ATH3,CA,08-DEC-17
13034ATJ9,CA,08-DEC-17
13034ATK6,CA,04-JAN-18
13034ATL4,CA,08-DEC-17
13034ATW0,CA,08-DEC-17
13048TA94,CA,07-OCT-16
13048TB28,CA,11-JAN-17
13048TB36,CA,07-OCT-16
13048TB44,CA,28-DEC-16
13048TB77,CA,07-OCT-16
13048TSS3,CA,14-DEC-17
13048TUG6,CA,13-JUN-16
13048TWW9,CA,01-MAR-17
13048TWZ2,CA,03-JAN-18
13057EBB9,CA,18-JAN-18
13063BD74,CA,13-DEC-17
13063BL34,CA,21-JUN-16
13063BL42,CA,25-OCT-16
13063BLR1,CA,03-MAY-17
13063BP30,CA,10-FEB-16
13063BP97,CA,17-JUN-16
13063BQ39,CA,23-OCT-17
13063BQT2,CA,27-APR-17
13063BQW5,CA,11-SEP-17
13063BT77,CA,06-DEC-16
13063BU59,CA,11-DEC-17
13063C4L1,CA,01-MAY-17
13063C4M9,CA,02-MAY-17
13063C4P2,CA,16-OCT-17
13063C4R8,CA,11-JAN-18
13063C5J5,CA,08-MAR-17
13063C5S5,CA,08-MAR-17
13063C5U0,CA,28-MAR-17
13063C5W6,CA,26-MAY-17
13063C5Y2,CA,18-JUL-17
13063C6B1,CA,17-JAN-18
13063C6C9,CA,08-MAR-17
13063C6D7,CA,31-OCT-17
13063C6F2,CA,09-JAN-18
13063C6K1,CA,20-MAR-17
13063C6L9,CA,08-MAR-17
13063C8P8,CA,27-NOV-17
13063C8Q6,CA,22-JAN-18
13063C8R4,CA,07-NOV-17
13063CB33,CA,17-MAY-16
13063CB74,CA,18-MAR-16
13063CB82,CA,30-MAY-17
13063CD56,CA,31-MAR-16
13063CE97,CA,27-JUL-16
13063CEN6,CA,10-AUG-16
13063CER7,CA,02-AUG-16
13063CF39,CA,03-FEB-17
13063CFJ4,CA,06-MAY-16
13063CGH7,CA,30-SEP-16
13063CGL8,CA,26-JUL-17
13063CGZ7,CA,18-APR-16
13063CJT8,CA,11-FEB-16
13063CKQ2,CA,12-JAN-18
13063CLW8,CA,31-JAN-17
13063CLX6,CA,21-JUN-16
13063CNJ5,CA,09-MAY-16
13063CPX2,CA,02-MAY-16
13063CQ37,CA,06-JUL-16
13063CQ78,CA,26-JUN-17
13063CQC7,CA,04-JAN-17
13063CR44,CA,04-MAY-17
13063CR51,CA,18-SEP-17
13063CR85,CA,12-SEP-17
13063CR93,CA,28-JUL-17
13063CRE2,CA,10-MAY-17
13063CS35,CA,10-AUG-17
13063CS84,CA,09-MAY-16
13063CSA9,CA,19-AUG-16
13063CT42,CA,31-AUG-16
13063CT67,CA,31-AUG-16
13063CT83,CA,09-AUG-17
13063CTM2,CA,23-DEC-16
13063CU24,CA,31-AUG-16
13063CU32,CA,31-AUG-16
13063CUL2,CA,20-JAN-16
13063CUR9,CA,03-MAY-16
13063CUT5,CA,06-FEB-17
13063CV23,CA,07-SEP-16
13063CVK3,CA,13-MAY-16
13063CVL1,CA,08-SEP-17
13063CVP2,CA,09-MAY-17
13063CW63,CA,13-SEP-16
13063CX39,CA,31-OCT-17
13063CX47,CA,19-DEC-17
13063CYC8,CA,22-JUL-16
13063CZP8,CA,18-SEP-17
13063CZR4,CA,06-DEC-16
13063CZS2,CA,09-MAR-17
13063CZU7,CA,05-JUL-17
13063CZX1,CA,10-NOV-17
13063DAJ7,CA,30-AUG-17
13063DAK4,CA,30-AUG-17
13063DAY4,CA,16-JAN-18
13063DBC1,CA,20-DEC-17
13063DBM9,CA,02-OCT-17
13063DBQ0,CA,30-AUG-17
13063DBR8,CA,21-SEP-17
13063DBS6,CA,31-OCT-17
13063DBW7,CA,01-DEC-17
13063DDR6,CA,17-NOV-17
13066KV48,CA,07-FEB-17
13066YPV5,CA,06-OCT-17
13066YQW2,CA,21-JUN-16
13066YSQ3,CA,14-FEB-17
13067WKV3,CA,19-MAY-17
13067WLS9,CA,09-MAY-17
13067WLT7,CA,14-DEC-17
13067WLU4,CA,23-JAN-17
13067WNT5,CA,12-JAN-18
130685T91,CA,23-FEB-17
13068LA21,CA,18-JUL-17
13068LA39,CA,10-JAN-17
13068LB79,CA,26-MAY-17
13068LBZ7,CA,30-SEP-16
13068LC37,CA,06-DEC-17
13068LCA1,CA,25-SEP-17
13068LCC7,CA,25-SEP-17
13068LCD5,CA,26-SEP-17
13068LCE3,CA,29-DEC-17
13068LCL7,CA,29-JUL-16
13068LE84,CA,03-MAY-17
13068LF67,CA,26-APR-17
13068LF75,CA,12-APR-17
13068LF83,CA,04-APR-17
13068LG90,CA,28-APR-17
13068LGF6,CA,28-MAR-17
13068LGG4,CA,03-AUG-17
13068LGJ8,CA,29-JUL-16
13068LH40,CA,25-APR-17
13068LH99,CA,12-MAY-17
13068LHK4,CA,07-AUG-17
13068LJA4,CA,25-OCT-16
13068LJH9,CA,26-APR-16
13068LK53,CA,18-JAN-18
13068LKK0,CA,29-FEB-16
13068LKP9,CA,02-AUG-16
13068LL29,CA,17-MAY-17
13068LL78,CA,18-APR-17
13068LLJ2,CA,12-DEC-16
13068LLV5,CA,13-FEB-17
13068LLX1,CA,31-OCT-17
13068LLZ6,CA,27-JUN-17
13068LM28,CA,13-DEC-17
13068LM69,CA,29-SEP-17
13068LMQ5,CA,07-JUN-17
13068LMV4,CA,25-JUL-16
13068LMW2,CA,09-MAR-17
13068LN76,CA,22-JAN-18
13068LN84,CA,23-OCT-17
13068LNC5,CA,23-JUN-17
13068LNK7,CA,06-JUL-17
13068LP90,CA,28-SEP-17
13068LPH2,CA,25-SEP-17
13068LPJ8,CA,18-JAN-17
13068LPK5,CA,16-NOV-17
13068LQ57,CA,14-NOV-17
13068LQK4,CA,08-JAN-18
13068LQL2,CA,05-APR-17
13068LQM0,CA,21-DEC-16
13068LR80,CA,26-OCT-17
13068LR98,CA,26-OCT-17
13068LRN7,CA,10-JAN-18
13068LS22,CA,26-OCT-17
13068LS30,CA,26-OCT-17
13068LSC0,CA,24-APR-17
13068LTA3,CA,05-FEB-16
13068LTB1,CA,13-MAY-16
13068LTD7,CA,28-MAR-16
13068LTY1,CA,29-DEC-16
13068LVD4,CA,10-JUL-17
13068LVR3,CA,25-AUG-16
13068LVS1,CA,08-NOV-17
13068LVY8,CA,12-OCT-17
13068LXJ9,CA,04-JAN-18
13068LXL4,CA,13-SEP-16
13068LXQ3,CA,29-JAN-16
13068LXT7,CA,29-JAN-16
13068LYD1,CA,21-MAR-17
13068LYG4,CA,10-MAY-16
13068LYH2,CA,31-OCT-16
13068LYJ8,CA,21-JUL-16
13068LYK5,CA,18-APR-16
13068LYL3,CA,13-JUN-16
13068LYR0,CA,25-OCT-16
13068LYS8,CA,06-OCT-17
13068LYU3,CA,08-NOV-17
13068LZE8,CA,25-AUG-17
13068LZH1,CA,06-OCT-16
13068LZJ7,CA,29-DEC-17
13068LZK4,CA,01-FEB-17
13068LZN8,CA,17-JAN-18
13068LZS7,CA,03-JAN-17
13068LZT5,CA,18-JAN-17
13068LZZ1,CA,06-OCT-16
13077C3B8,CA,07-AUG-17
13077C3D4,CA,04-JAN-18
13077C3H5,CA,10-NOV-17
13077C3J1,CA,15-NOV-17
13077C3K8,CA,06-JUN-17
13077C3Q5,CA,07-JUL-16
13077C3U6,CA,31-OCT-17
13077C3Z5,CA,15-DEC-17
13077C4C5,CA,26-DEC-17
13077CA46,CA,18-JAN-18
13077CA53,CA,11-MAY-17
13077CK86,CA,15-APR-16
13077CL44,CA,28-JUL-16
13077CL69,CA,29-MAR-17
13077CU93,CA,26-JAN-16
13077CV50,CA,20-SEP-16
13077CV76,CA,24-JUL-17
13077CVP6,CA,11-APR-17
13077CY65,CA,29-DEC-16
13077CYH1,CA,27-DEC-16
13077CYJ7,CA,27-DEC-16
13077CZ23,CA,05-JAN-18
13077DAJ1,CA,09-FEB-17
13077DAL6,CA,17-JAN-18
13077DAM4,CA,05-JAN-18
